latitude,longitude,startdate,enddate,weather_code,temperature_max,temperature_min
12.930429,79.931163,2020-08-27,2020-08-29,55,33,24
18.750621,73.87719,2020-08-27,2020-08-29,61,26,20
13.087428,80.184717,2020-08-27,2020-08-29,53,33,25
11.154594,76.922532,2020-08-26,2020-08-28,61,32,21
12.746894,77.806168,2020-08-26,2020-08-28,53,29,19
12.786517,79.975221,2020-08-26,2020-08-29,61,33,24
22.961777,72.094219,2020-08-26,2020-08-29,65,31,24
28.373519,76.835337,2020-08-26,2020-08-29,51,33,25
28.373519,76.835337,2020-08-26,2020-08-30,53,33,25
12.930429,79.931163,2020-08-26,2020-08-30,63,33,24
12.683589,77.859239,2020-08-26,2020-08-28,51,29,19
31.045961,76.664373,2020-08-26,2020-08-28,63,31,23
18.750621,73.87719,2020-08-26,2020-08-28,61,28,20
28.373519,76.835337,2020-08-26,2020-08-28,51,33,25
22.961777,72.094219,2020-08-26,2020-08-28,61,31,24
18.750621,73.87719,2020-08-25,2020-08-28,61,28,20
13.202214,80.131693,2020-08-25,2020-08-28,55,33,25
9.973636,78.281783,2020-08-25,2020-08-28,63,37,25
12.223062,76.690357,2020-08-25,2020-08-28,51,31,19
12.671093,77.779537,2020-08-26,2020-08-28,51,28,19
12.786517,79.975221,2020-08-25,2020-08-29,65,33,24
22.961777,72.094219,2020-08-25,2020-08-29,65,32,24
18.750621,73.87719,2020-08-25,2020-08-29,61,28,20
26.131293,91.749014,2020-08-25,2020-08-29,63,33,25
12.786517,79.975221,2020-08-25,2020-08-30,65,33,24
28.635325,76.693244,2020-08-25,2020-08-30,53,33,25
12.930429,79.931163,2020-08-25,2020-08-28,63,33,24
22.961777,72.094219,2020-08-25,2020-08-28,61,32,24
28.373519,76.835337,2020-08-25,2020-08-28,51,33,25
12.930429,79.931163,2020-08-25,2020-08-29,63,33,24
12.722686,77.676518,2020-08-25,2020-08-28,51,28,19
12.786517,79.975221,2020-08-25,2020-08-28,65,33,24
12.671093,77.779537,2020-08-28,2020-08-28,3,28,19
13.087428,80.184717,2020-08-28,2020-08-28,53,33,25
22.749591,86.281875,2020-08-28,2020-08-28,53,32,24
17.942449,74.546328,2020-08-28,2020-08-28,53,26,21
9.973636,78.281783,2020-08-28,2020-08-28,51,37,25
12.223062,76.690357,2020-08-28,2020-08-28,3,31,19
23.5159,72.077925,2020-08-28,2020-08-29,63,31,25
12.786517,79.975221,2020-08-28,2020-08-29,51,33,25
18.750621,73.87719,2020-08-28,2020-08-28,61,25,21
12.930429,79.931163,2020-08-28,2020-08-28,3,32,25
18.750621,73.87719,2020-08-28,2020-08-29,61,25,21
12.930429,79.931163,2020-08-28,2020-08-29,51,33,25
12.722686,77.676518,2020-08-21,2020-08-28,61,28,19
28.373519,76.835337,2020-08-21,2020-08-28,51,33,25
12.786517,79.975221,2020-08-21,2020-08-28,65,34,24
22.961777,72.094219,2020-08-21,2020-08-28,65,32,24
13.187219,80.307731,2020-08-26,2020-08-28,63,33,25
28.430086,77.017841,2020-08-20,2020-08-28,55,33,24
23.442055,72.150343,2020-08-20,2020-08-28,65,31,24
9.973636,78.281783,2020-08-23,2020-08-28,63,37,24
12.223062,76.690357,2020-08-23,2020-08-28,61,31,19
28.373519,76.835337,2020-08-24,2020-08-28,51,33,25
12.930429,79.931163,2020-08-24,2020-08-28,63,33,24
18.750621,73.87719,2020-08-24,2020-08-28,61,28,20
28.30904,76.969455,2020-08-24,2020-08-28,53,33,25
12.786517,79.975221,2020-08-24,2020-08-28,65,33,24
13.202214,80.131693,2020-08-24,2020-08-28,63,33,24
12.722686,77.676518,2020-08-18,2020-08-28,61,28,18
28.373519,76.835337,2020-08-18,2020-08-28,63,33,25
22.961777,72.094219,2020-08-24,2020-08-28,65,32,24
9.973636,78.281783,2020-08-24,2020-08-28,63,37,25
12.223062,76.690357,2020-08-24,2020-08-28,51,31,19
18.750621,73.87719,2020-08-21,2020-08-28,61,28,20
28.30904,76.969455,2020-08-21,2020-08-28,53,33,25
28.373519,76.835337,2020-08-24,2020-08-29,51,33,25
12.930429,79.931163,2020-08-24,2020-08-29,63,33,24
12.722686,77.676518,2020-08-20,2020-08-28,61,28,19
28.373519,76.835337,2020-08-20,2020-08-28,61,33,25
18.750621,73.87719,2020-08-19,2020-08-28,61,28,20
26.131293,91.749014,2020-08-19,2020-08-28,63,33,24
18.750621,73.87719,2020-08-13,2020-08-28,61,28,20
26.131293,91.749014,2020-08-13,2020-08-28,63,33,24
12.722686,77.676518,2020-08-11,2020-08-28,61,28,18
28.373519,76.835337,2020-08-11,2020-08-28,65,34,25
23.67348,86.129379,2020-08-21,2020-08-28,65,31,23
28.658633,77.438643,2020-08-25,2020-08-28,63,32,25
30.363108,76.794961,2020-08-25,2020-08-28,65,32,25
26.19229040350968,91.75127677536253,2020-08-25,2020-08-28,63,33,25
28.927021,77.642158,2020-08-25,2020-08-28,63,32,25
23.67348,86.129379,2020-08-25,2020-08-28,63,31,23
26.185619636418977,91.8435819321972,2020-08-25,2020-08-28,63,33,25
23.176713,86.933714,2020-08-25,2020-08-28,63,31,24
24.734179,87.626042,2020-08-25,2020-08-28,63,31,24
12.930429,79.931163,2020-08-26,2020-08-28,55,33,24
26.185619636418977,91.8435819321972,2020-08-25,2020-08-28,63,33,25
26.185619636418977,91.8435819321972,2020-08-25,2020-08-28,63,33,25
26.185619636418977,91.8435819321972,2020-08-25,2020-08-28,63,33,25
28.207,76.856,2020-08-28,2020-08-28,51,32,25
13.087428,80.184717,2020-08-27,2020-08-28,53,33,25
18.750621,73.87719,2020-08-27,2020-08-28,61,26,20
12.777,80.025,2020-08-27,2020-08-28,61,33,24
23.5159,72.077925,2020-08-27,2020-08-28,61,31,24
12.786517,79.975221,2020-08-27,2020-08-28,55,33,24
11.872,79.632,2020-08-28,2020-08-28,51,34,24
13.102,80.194,2020-08-28,2020-08-28,53,33,25
12.839,79.954,2020-08-27,2020-08-27,53,33,24
13.087428,80.184717,2020-08-27,2020-08-27,53,33,25
18.750621,73.87719,2020-08-27,2020-08-27,51,26,20
12.722686,77.676518,2020-08-14,2020-08-27,61,28,18
28.373519,76.835337,2020-08-14,2020-08-27,63,32,25
18.750621,73.87719,2020-08-18,2020-08-28,61,28,20
12.223062,76.690357,2020-08-18,2020-08-28,61,31,19
22.961777,72.094219,2020-08-24,2020-08-29,65,32,24
12.786517,79.975221,2020-08-24,2020-08-29,65,33,24
18.627,73.743,2020-08-27,2020-08-27,51,26,21
12.839,79.954,2020-08-26,2020-08-27,53,33,24
11.872,79.632,2020-08-27,2020-08-27,61,35,25
13.102,80.194,2020-08-27,2020-08-27,53,33,25
18.750621,73.87719,2020-08-25,2020-08-27,51,28,20
12.930429,79.931163,2020-08-25,2020-08-27,63,33,24
12.751,77.804,2020-08-26,2020-08-27,53,28,20
13.215,80.32,2020-08-26,2020-08-27,63,33,25
22.99,72.25,2020-08-27,2020-08-27,51,30,24
18.747,73.788,2020-08-27,2020-08-27,53,26,20
18.750621,73.87719,2020-08-24,2020-08-27,53,28,20
13.202214,80.131693,2020-08-24,2020-08-27,63,33,24
28.373519,76.835337,2020-08-17,2020-08-29,63,33,25
12.930429,79.931163,2020-08-17,2020-08-29,63,34,24
12.722686,77.676518,2020-08-12,2020-08-29,61,29,18
28.373519,76.835337,2020-08-12,2020-08-29,65,34,25
12.72,77.817,2020-08-27,2020-08-27,51,28,20
22.961777,72.094219,2020-08-25,2020-08-27,55,32,24
28.373519,76.835337,2020-08-25,2020-08-27,51,32,25
12.683589,77.859239,2020-08-25,2020-08-27,51,29,20
12.683589,77.859239,2020-08-24,2020-08-28,51,29,19
12.766,77.786,2020-08-26,2020-08-27,51,28,20
28.373519,76.835337,2020-08-24,2020-08-27,51,32,25
22.961777,72.094219,2020-08-24,2020-08-27,65,32,24
22.58,72.22,2020-08-27,2020-08-27,53,30,24
12.5,79.56,2020-08-24,2020-08-28,63,33,24
22.48,86.12,2020-08-24,2020-08-28,65,30,23
12.839,79.954,2020-08-25,2020-08-27,63,33,24
13.155,80.196,2020-08-26,2020-08-27,63,33,25
12.751,77.804,2020-08-27,2020-08-27,51,28,20
13.155,80.196,2020-08-27,2020-08-27,53,33,25
27.98,76.38,2020-08-27,2020-08-27,51,31,25
12.751,77.804,2020-08-25,2020-08-27,53,29,20
13.155,80.196,2020-08-25,2020-08-27,63,33,25
12.751,77.804,2020-08-13,2020-08-27,53,29,19
13.215,80.32,2020-08-13,2020-08-27,63,33,24
23.349,72.056,2020-08-25,2020-08-28,55,31,24
28.366,76.879,2020-08-25,2020-08-28,53,33,25
28.207,76.856,2020-08-27,2020-08-27,51,32,26
13.102,80.194,2020-08-26,2020-08-27,53,33,25
11.872,79.632,2020-08-26,2020-08-27,61,35,25
13.165101,80.204244,2020-08-26,2020-08-27,63,33,25
12.683589,77.859239,2020-08-26,2020-08-27,51,29,20
12.671093,77.779537,2020-08-24,2020-08-27,51,28,20
31.045961,76.664373,2020-08-24,2020-08-27,63,31,24
9.973636,78.281783,2020-08-27,2020-08-27,51,37,25
12.223062,76.690357,2020-08-27,2020-08-27,51,30,21
28.373519,76.835337,2020-08-22,2020-08-27,51,32,25
12.930429,79.931163,2020-08-22,2020-08-27,63,34,24
9.973636,78.281783,2020-08-21,2020-08-27,63,38,24
12.223062,76.690357,2020-08-21,2020-08-27,61,31,19
28.373519,76.835337,2020-08-19,2020-08-27,63,32,25
12.930429,79.931163,2020-08-19,2020-08-27,63,34,24
18.750621,73.87719,2020-08-20,2020-08-27,53,28,20
12.930429,79.931163,2020-08-20,2020-08-27,63,34,24
12.671093,77.779537,2020-08-26,2020-08-27,51,28,20
13.187219,80.307731,2020-08-26,2020-08-27,63,33,25
11.154594,76.922532,2020-08-26,2020-08-27,61,31,22
12.766,77.786,2020-08-13,2020-08-27,61,28,19
13.087428,80.184717,2020-08-25,2020-08-27,61,33,25
11.871,79.739,2020-08-26,2020-08-27,61,33,25
12.777,80.025,2020-08-26,2020-08-27,61,33,24
12.839,79.954,2020-08-24,2020-08-27,63,33,24
13.087428,80.184717,2020-08-26,2020-08-27,53,33,25
18.750621,73.87719,2020-08-26,2020-08-27,51,28,20
23.52526791608896,87.26442434857088,2020-08-20,2020-08-26,65,31,24
25.641719007694395,88.12781912972429,2020-08-20,2020-08-26,65,32,24
11.872,79.632,2020-08-26,2020-08-26,61,33,25
12.839,79.954,2020-08-26,2020-08-26,53,32,25
12.839,79.954,2020-08-25,2020-08-26,63,32,25
11.871,79.739,2020-08-24,2020-08-26,63,32,25
12.839,79.954,2020-08-24,2020-08-26,63,32,24
11.872,79.632,2020-08-25,2020-08-26,61,33,25
13.102,80.194,2020-08-25,2020-08-26,61,32,25
28.207,76.856,2020-08-26,2020-08-26,51,31,26
13.102,80.194,2020-08-26,2020-08-26,51,32,25
12.42,77.48,2020-08-26,2020-08-26,51,30,21
13.06,80.06,2020-08-26,2020-08-26,51,32,26
12.751,77.804,2020-08-25,2020-08-26,53,29,20
13.155,80.196,2020-08-25,2020-08-26,63,32,25
12.746894,77.806168,2020-08-26,2020-08-26,53,28,20
13.092058,80.156813,2020-08-26,2020-08-26,51,32,25
18.750621,73.87719,2020-08-13,2020-08-26,61,28,20
26.131293,91.749014,2020-08-13,2020-08-26,63,33,24
22.58,72.22,2020-08-26,2020-08-26,51,31,24
17.638373,74.065262,2020-08-20,2020-08-26,61,28,19
12.930429,79.931163,2020-08-20,2020-08-26,63,34,24
13.215,80.32,2020-08-26,2020-08-26,63,32,26
12.766,77.786,2020-08-26,2020-08-26,51,28,20
13.155,80.197,2020-08-26,2020-08-26,63,32,25
28.424,76.999,2020-08-26,2020-08-26,53,32,26
12.72,77.817,2020-08-26,2020-08-26,51,28,20
12.425747,79.880083,2020-08-25,2020-08-27,65,34,25
30.000345,76.732209,2020-08-25,2020-08-27,61,32,25
12.786517,79.975221,2020-08-20,2020-08-26,65,34,24
22.961777,72.094219,2020-08-20,2020-08-26,65,32,25
22.961777,72.094219,2020-08-24,2020-08-26,65,32,25
12.786517,79.975221,2020-08-24,2020-08-26,65,32,24
17.701,74.002,2020-08-26,2020-08-26,51,27,20
18.63,73.748,2020-08-26,2020-08-26,51,28,21
13.215,80.32,2020-08-21,2020-08-26,63,33,24
12.766,77.786,2020-08-21,2020-08-26,61,28,19
12.726,77.876,2020-08-26,2020-08-26,53,28,20
22.961777,72.094219,2020-08-21,2020-08-26,65,32,25
12.786517,79.975221,2020-08-21,2020-08-26,65,34,24
28.373519,76.835337,2020-08-22,2020-08-26,51,32,25
12.786517,79.975221,2020-08-22,2020-08-26,65,33,24
22.961777,72.094219,2020-08-25,2020-08-26,55,32,25
28.373519,76.835337,2020-08-25,2020-08-26,51,32,25
28.373519,76.835337,2020-08-21,2020-08-26,51,32,25
13.165101,80.204244,2020-08-25,2020-08-26,63,32,26
12.746894,77.806168,2020-08-25,2020-08-26,53,29,20
28.024453,76.375305,2020-08-25,2020-08-26,53,32,25
11.154594,76.922532,2020-08-20,2020-08-26,61,31,21
12.746894,77.806168,2020-08-20,2020-08-26,53,29,19
11.154594,76.922532,2020-08-21,2020-08-26,61,31,21
12.746894,77.806168,2020-08-21,2020-08-26,53,29,19
12.839,79.954,2020-08-21,2020-08-26,63,34,24
18.627,73.743,2020-08-26,2020-08-26,51,28,21
18.750621,73.87719,2020-08-26,2020-08-26,51,28,20
13.087428,80.184717,2020-08-26,2020-08-26,51,32,25
13.087428,80.184717,2020-08-25,2020-08-26,61,32,25
18.750621,73.87719,2020-08-25,2020-08-26,51,28,20
13.215,80.32,2020-08-24,2020-08-26,63,32,24
12.766,77.786,2020-08-24,2020-08-26,53,28,20
12.777,80.025,2020-08-26,2020-08-26,53,32,25
12.777,80.025,2020-08-25,2020-08-26,65,32,25
13.102,80.194,2020-08-25,2020-08-25,61,31,25
11.872,79.632,2020-08-25,2020-08-25,61,32,25
12.839,79.954,2020-08-25,2020-08-25,63,31,25
26.19229040350968,91.75127677536253,2020-08-25,2020-08-26,63,33,26
28.927021,77.642158,2020-08-25,2020-08-26,51,32,25
28.373519,76.835337,2020-08-21,2020-08-25,51,32,25
12.786517,79.975221,2020-08-21,2020-08-25,65,34,24
22.961777,72.094219,2020-08-20,2020-08-25,65,32,25
12.786517,79.975221,2020-08-20,2020-08-25,65,34,24
12.839,79.954,2020-08-22,2020-08-25,63,34,24
12.839,79.954,2020-08-24,2020-08-25,63,32,24
9.973636,78.281783,2020-08-21,2020-08-26,63,38,24
12.223062,76.690357,2020-08-21,2020-08-26,61,31,19
22.961777,72.094219,2020-08-21,2020-08-25,65,32,25
13.165101,80.204244,2020-08-25,2020-08-25,53,30,26
12.746894,77.806168,2020-08-25,2020-08-25,3,29,20
28.207,76.856,2020-08-25,2020-08-25,53,30,25
11.872,79.632,2020-08-24,2020-08-25,63,34,25
13.102,80.194,2020-08-24,2020-08-25,63,32,24
12.425747,79.880083,2020-08-25,2020-08-25,65,32,25
30.000345,76.732209,2020-08-25,2020-08-25,53,32,25
13.165101,80.204244,2020-08-21,2020-08-25,63,33,24
12.683589,77.859239,2020-08-21,2020-08-25,55,29,19
13.165101,80.204244,2020-08-18,2020-08-25,63,33,24
12.746894,77.806168,2020-08-18,2020-08-25,53,29,19
26.19229040350968,91.75127677536253,2020-08-25,2020-08-25,63,33,26
28.553524,77.573405,2020-08-25,2020-08-25,51,32,25
28.658633,77.438643,2020-08-25,2020-08-25,51,32,25
13.215,80.32,2020-08-25,2020-08-25,53,30,26
12.726,77.876,2020-08-25,2020-08-25,3,29,20
12.751,77.804,2020-08-20,2020-08-25,53,29,19
13.215,80.32,2020-08-20,2020-08-25,63,33,24
12.671093,77.779537,2020-08-20,2020-08-25,61,28,19
31.045961,76.664373,2020-08-20,2020-08-25,65,31,23
28.658633,77.438643,2020-08-21,2020-08-25,53,32,25
12.425747,79.880083,2020-08-21,2020-08-25,65,35,25
18.750621,73.87719,2020-08-21,2020-08-25,53,27,21
12.72,77.817,2020-08-25,2020-08-25,3,29,20
12.839,79.954,2020-08-19,2020-08-25,63,34,24
22.961777,72.094219,2020-08-19,2020-08-25,65,32,25
12.786517,79.975221,2020-08-19,2020-08-25,65,34,24
28.373519,76.835337,2020-08-24,2020-08-25,51,31,25
22.961777,72.094219,2020-08-24,2020-08-25,65,32,25
22.961777,72.094219,2020-08-19,2020-08-26,65,32,25
12.786517,79.975221,2020-08-19,2020-08-26,65,34,24
29.660051,77.724463,2020-08-21,2020-08-25,53,31,25
13.215,80.32,2020-08-24,2020-08-25,63,31,24
12.766,77.786,2020-08-24,2020-08-25,53,28,20
12.766,77.786,2020-08-25,2020-08-25,3,28,20
11.154594,76.922532,2020-08-24,2020-08-25,51,31,22
12.746894,77.806168,2020-08-24,2020-08-25,51,29,20
13.187219,80.307731,2020-08-24,2020-08-25,63,31,24
23.349,72.056,2020-08-25,2020-08-25,53,31,25
28.366,76.879,2020-08-25,2020-08-25,53,31,25
23.349,72.056,2020-08-24,2020-08-25,65,31,25
28.366,76.879,2020-08-24,2020-08-25,53,31,25
13.215,80.32,2020-08-22,2020-08-25,63,32,24
12.702,77.857,2020-08-22,2020-08-25,55,29,19
13.155,80.196,2020-08-20,2020-08-25,63,33,24
13.087428,80.184717,2020-08-20,2020-08-25,63,33,24
28.373519,76.835337,2020-08-20,2020-08-25,61,32,25
17.701,74.002,2020-08-24,2020-08-25,53,27,21
18.63,73.748,2020-08-24,2020-08-25,53,27,21
22.99,72.25,2020-08-25,2020-08-25,53,32,25
18.747,73.788,2020-08-25,2020-08-25,51,27,21
18.685788,73.665394,2020-08-25,2020-08-25,51,27,21
22.969075,72.325933,2020-08-25,2020-08-25,53,31,25
18.750621,73.87719,2020-08-24,2020-08-25,53,27,21
12.930429,79.931163,2020-08-24,2020-08-25,63,32,24
28.373519,76.835337,2020-08-22,2020-08-25,51,32,25
12.786517,79.975221,2020-08-22,2020-08-25,65,33,24
11.871,79.739,2020-08-24,2020-08-25,63,32,25
12.839,79.954,2020-08-24,2020-08-24,63,32,24
13.102,80.194,2020-08-24,2020-08-24,63,32,24
11.872,79.632,2020-08-24,2020-08-24,63,34,25
11.154594,76.922532,2020-08-18,2020-08-24,61,31,21
12.746894,77.806168,2020-08-18,2020-08-24,53,28,19
12.839,79.954,2020-08-20,2020-08-24,63,34,24
26.185619636418977,91.8435819321972,2020-08-25,2020-08-28,63,33,25
12.839,79.954,2020-08-19,2020-08-24,63,34,24
18.750621,73.87719,2020-08-24,2020-08-24,53,26,21
12.930429,79.931163,2020-08-24,2020-08-24,63,32,24
22.961777,72.094219,2020-08-20,2020-08-24,65,31,25
12.786517,79.975221,2020-08-20,2020-08-24,63,34,24
22.961777,72.094219,2020-08-24,2020-08-24,65,27,25
28.373519,76.835337,2020-08-24,2020-08-24,51,30,25
11.872,79.632,2020-08-23,2020-08-24,63,35,25
18.750621,73.87719,2020-08-18,2020-08-24,53,26,21
12.683589,77.859239,2020-08-18,2020-08-24,55,29,19
18.750621,73.87719,2020-08-20,2020-08-24,53,26,21
12.683589,77.859239,2020-08-20,2020-08-24,55,29,19
11.872,79.632,2020-08-20,2020-08-24,63,36,25
13.102,80.194,2020-08-20,2020-08-24,63,33,24
12.72,77.817,2020-08-24,2020-08-24,51,28,20
12.839,79.954,2020-08-21,2020-08-24,63,34,24
28.207,76.856,2020-08-24,2020-08-24,51,30,25
9.973636,78.281783,2020-08-21,2020-08-24,55,38,24
12.223062,76.690357,2020-08-21,2020-08-24,61,30,19
18.750621,73.87719,2020-08-19,2020-08-24,53,26,21
13.202214,80.131693,2020-08-19,2020-08-24,63,33,24
13.06,80.06,2020-08-24,2020-08-24,63,32,24
12.42,77.48,2020-08-24,2020-08-24,51,29,21
12.839,79.954,2020-08-22,2020-08-24,63,34,24
28.373,76.897,2020-08-24,2020-08-24,51,30,25
23.349,72.056,2020-08-24,2020-08-24,65,27,25
12.683589,77.859239,2020-08-24,2020-08-24,51,29,20
12.786517,79.975221,2020-08-18,2020-08-24,63,34,24
28.373519,76.835337,2020-08-18,2020-08-24,63,32,25
12.74,77.82,2020-08-20,2020-08-24,53,29,19
13.215,80.32,2020-08-20,2020-08-24,63,33,24
9.973636,78.281783,2020-08-18,2020-08-24,55,38,24
12.223062,76.690357,2020-08-18,2020-08-24,61,30,19
13.155,80.197,2020-08-24,2020-08-24,63,31,24
12.425747,79.880083,2020-08-24,2020-08-24,55,33,25
28.373519,76.835337,2020-08-17,2020-08-24,63,32,25
12.930429,79.931163,2020-08-17,2020-08-24,63,34,24
18.627,73.743,2020-08-21,2020-08-24,55,27,22
28.373519,76.835337,2020-08-21,2020-08-24,51,32,25
22.961777,72.094219,2020-08-21,2020-08-24,65,31,25
13.215,80.32,2020-08-22,2020-08-24,63,32,24
12.766,77.786,2020-08-22,2020-08-24,61,28,19
26.55,75.463,2020-08-24,2020-08-24,51,30,24
13.165101,80.204244,2020-08-24,2020-08-24,63,31,24
22.961777,72.094219,2020-08-19,2020-08-24,65,31,25
12.786517,79.975221,2020-08-19,2020-08-24,63,34,24
12.746894,77.806168,2020-08-24,2020-08-24,51,27,20
13.165101,80.204244,2020-08-20,2020-08-24,63,33,24
11.154594,76.922532,2020-08-22,2020-08-24,61,31,21
12.683589,77.859239,2020-08-22,2020-08-24,55,29,19
28.373519,76.835337,2020-08-20,2020-08-26,61,32,25
18.750621,73.87719,2020-08-13,2020-08-24,61,26,21
26.131293,91.749014,2020-08-13,2020-08-24,63,32,24
12.671093,77.779537,2020-08-21,2020-08-24,61,28,19
13.087428,80.184717,2020-08-21,2020-08-24,63,33,24
28.373519,76.835337,2020-08-20,2020-08-24,61,32,25
12.930429,79.931163,2020-08-21,2020-08-25,63,34,24
28.373519,76.835337,2020-08-19,2020-08-24,63,32,25
28.373519,76.835337,2020-08-22,2020-08-24,51,32,25
22.961777,72.094219,2020-08-22,2020-08-24,65,31,25
28.354,76.939,2020-08-24,2020-08-24,51,30,25
13.102,80.194,2020-08-23,2020-08-24,63,33,24
11.872,79.632,2020-08-22,2020-08-24,63,36,25
13.102,80.194,2020-08-22,2020-08-24,63,33,24
22.961777,72.094219,2020-08-18,2020-08-24,65,31,25
30.000345,76.732209,2020-08-22,2020-08-24,53,31,25
18.750621,73.87719,2020-08-21,2020-08-24,53,26,21
12.930429,79.931163,2020-08-20,2020-08-24,63,34,24
12.777,80.025,2020-08-24,2020-08-24,63,32,24
11.872,79.632,2020-08-21,2020-08-24,63,36,25
13.102,80.194,2020-08-21,2020-08-24,63,33,24
12.777,80.025,2020-08-21,2020-08-24,65,34,24
13.087428,80.184717,2020-08-20,2020-08-24,63,33,24
12.930429,79.931163,2020-08-21,2020-08-24,63,34,24
13.215,80.32,2020-08-18,2020-08-24,63,33,24
12.766,77.786,2020-08-18,2020-08-24,61,28,19
9.973636,78.281783,2020-08-18,2020-08-23,55,38,24
12.223062,76.690357,2020-08-18,2020-08-23,61,29,19
9.973636,78.281783,2020-08-17,2020-08-23,55,38,24
12.223062,76.690357,2020-08-17,2020-08-23,61,29,19
12.786517,79.975221,2020-08-21,2020-08-24,63,34,24
28.373519,76.835337,2020-08-22,2020-08-23,51,32,26
12.786517,79.975221,2020-08-22,2020-08-23,63,33,25
13.165101,80.204244,2020-08-18,2020-08-23,63,33,25
12.683589,77.859239,2020-08-18,2020-08-23,55,29,19
12.786517,79.975221,2020-08-18,2020-08-25,65,34,24
28.635325,76.693244,2020-08-18,2020-08-25,63,33,25
13.215,80.32,2020-08-19,2020-08-24,63,33,24
12.726,77.876,2020-08-19,2020-08-24,53,29,19
12.74,77.82,2020-08-18,2020-08-24,53,29,19
18.768,73.863,2020-08-18,2020-08-24,55,26,21
18.750621,73.87719,2020-08-22,2020-08-23,53,26,22
12.930429,79.931163,2020-08-22,2020-08-23,63,34,25
11.874962,79.714747,2020-08-20,2020-08-23,61,35,25
28.373519,76.835337,2020-08-20,2020-08-23,61,32,25
11.872,79.632,2020-08-19,2020-08-23,61,37,25
18.750621,73.87719,2020-08-21,2020-08-23,53,26,22
12.223062,76.690357,2020-08-21,2020-08-23,61,29,19
13.102,80.194,2020-08-22,2020-08-23,61,33,25
11.872,79.632,2020-08-22,2020-08-23,61,36,25
12.786517,79.975221,2020-08-18,2020-08-23,63,34,25
22.961777,72.094219,2020-08-18,2020-08-23,63,31,25
18.750621,73.87719,2020-08-18,2020-08-23,53,26,21
13.202214,80.131693,2020-08-18,2020-08-23,63,33,25
13.202214,80.131693,2020-08-18,2020-08-24,63,33,24
18.750621,73.87719,2020-08-13,2020-08-23,61,26,21
31.387859,76.762507,2020-08-13,2020-08-23,65,31,22
26.131293,91.749014,2020-08-13,2020-08-23,63,32,24
12.930429,79.931163,2020-08-21,2020-08-23,63,34,25
11.871,79.739,2020-08-21,2020-08-23,61,34,25
12.425747,79.880083,2020-08-21,2020-08-24,63,35,25
30.000345,76.732209,2020-08-21,2020-08-24,63,31,25
28.373519,76.835337,2020-08-22,2020-08-22,51,32,26
